canonical,^8.2|8.1|8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3.0,,^2,,^1,
second_candidate_middle_name,26,II CANDIDATE MIDDLE NAME,,,,,,
second_candidate_prefix,27,II CANDIDATE PREFIX,,,,,,
second_candidate_suffix,28,II CANDIDATE SUFFIX,,,,,,
second_candidate_office,29,II CANDIDATE OFFICE,21,CAN/OFFICE,21,CAN/OFF,21,CAN/OFF
second_candidate_state,30,II CANDIDATE STATE ,22,CAN/STATE ,22,STATE (Of Election),22,STATE (OF ELECTION)
second_candidate_district,31,II CANDIDATE DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST
second_candidate_contribution_date,32,II DATE OF CONTRIBUTION,24, DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (OF CONTRIBUTION)
third_candidate_id_number,33,III CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER
third_candidate_name,,,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME
third_candidate_last_name,34,III CANDIDATE LAST NAME,,,,,,
third_candidate_third_name,35,III CANDIDATE FIRST NAME,,,,,,
third_candidate_middle_name,36,III CANDIDATE MIDDLE NAME,,,,,,
third_candidate_prefix,37,III CANDIDATE PREFIX,,,,,,
third_candidate_suffix,38,III CANDIDATE SUFFIX,,,,,,
third_candidate_office,39,III CANDIDATE OFFICE,27,CAN/OFFICE,27,CAN/OFF,27,CAN/OFF
third_candidate_state,40,III CANDIDATE STATE ,28,CAN/STATE ,28,STATE (Of Election),28,STATE (OF ELECTION)
third_candidate_district,41,III CANDIDATE DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST
third_candidate_contribution_date,42,III DATE OF CONTRIBUTION,30, DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (OF CONTRIBUTION)
fourth_candidate_id_number,43,IV CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER
fourth_candidate_name,,,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME
fourth_candidate_last_name,44,IV CANDIDATE LAST NAME,,,,,,
fourth_candidate_fourth_name,45,IV CANDIDATE FIRST NAME,,,,,,
fourth_candidate_middle_name,46,IV CANDIDATE MIDDLE NAME,,,,,,
fourth_candidate_prefix,47,IV CANDIDATE PREFIX,,,,,,
fourth_candidate_suffix,48,IV CANDIDATE SUFFIX,,,,,,
fourth_candidate_office,49,IV CANDIDATE OFFICE,33,CAN/OFFICE,33,CAN/OFF,33,CAN/OFF
fourth_candidate_state,50,IV CANDIDATE STATE ,34,CAN/STATE ,34,STATE (Of Election),34,STATE (OF ELECTION)
fourth_candidate_district,51,IV CANDIDATE DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST
fourth_candidate_contribution_date,52,IV DATE OF CONTRIBUTION,36, DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (OF CONTRIBUTION)
fifth_candidate_id_number,53,V CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER
fifth_candidate_name,,,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME
fifth_candidate_last_name,54,V CANDIDATE LAST NAME,,,,,,
fifth_candidate_fifth_name,55,V CANDIDATE FIRST NAME,,,,,,
fifth_candidate_middle_name,56,V CANDIDATE MIDDLE NAME,,,,,,
fifth_candidate_prefix,57,V CANDIDATE PREFIX,,,,,,
fifth_candidate_suffix,58,V CANDIDATE SUFFIX,,,,,,
fifth_candidate_office,59,V CANDIDATE OFFICE,39,CAN/OFFICE,39,CAN/OFF,39,CAN/OFF
fifth_candidate_state,60,V CANDIDATE STATE ,40,CAN/STATE ,40,STATE (Of Election),40,STATE (OF ELECTION)
fifth_candidate_district,61,V CANDIDATE DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST
fifth_candidate_contribution_date,62,V DATE OF CONTRIBUTION,42, DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (OF CONTRIBUTION)
fifty_first_contributor_date,63,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (OF 51ST CONTRIBUTOR)
original_registration_date,64,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (OF ORIGINAL REGISTRATION)
requirements_met_date,65,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),,
treasurer_name,,,46,NAME/TREASURER (as signed),47,DATE (Signed),47,DATE (SIGNED)
treasurer_last_name,66,TREASURER LAST NAME,,,,,,
treasurer_first_name,67,TREASURER FIRST NAME,,,,,,
treasurer_middle_name,68,TREASURER MIDDLE NAME,,,,,,
treasurer_prefix,69,TREASURER PREFIX,,,,,,
treasurer_suffix,70,TREASURER SUFFIX,,,,,,
date_signed,71,DATE SIGNED,47,DATE SIGNED,,,,
